,text,Anger,Fear,Happiness,Hatred,Sadness,Wonder
75,آموزش طراحی وساخت نقش برجسته www.link.com از طریق @username,0,0,0,0,0,0
76,@username بیشتر بزن مسلمون بزن تا ازش بریزه بیرون سکته کنیم 🤤,0,0,0,0,0,0
77,تو دنیای واقعی که هزار بار تجمع گذاشتن و همدیگه رو دعوت کردن کلا چند صد نفرشون میومدن بیرون،مابقیشون زیر پتو میموندن. تنها امیدشون به فجازی بود که امشب معلوم شد فجازی رو هم دارن به بچه های انقلاب میبازن.. پیرمرد پیرزنای زپرتی آلبانی نشین هلاک شدن امشب #KhameneiTheGreat,0,0,0,0,0,0
97,به سلامتی و عاقبت بخیری ان‌شاءالله ,0,0,1,0,0,0
114,خب نباید بدون فکر اقتصادی ازدواج کرد,0,0,0,0,0,0
116," بچه ها زنگ بزنید به ستاد به نماینده هاااا 
فقط زود باشین 
من همین الان حرف زدم 
#سلامت_دانشجو",0,0,0,0,0,0
118, اکسو میشه حرف بزنید؟! حرف هیچی،به قول لیدر الان بین ما حتی یه علامت L هم کافیه، حالا که نیست، یکیتون انجامش بدین، یه آ…,0,0,0,0,0,0
139,علیزاده روایت نرگس محمدی را از جوان تیر خورده گرفتار در چنگال جانیان ج.ا وفرمانبران ولی فقیه دل هر انسانی را خون می کند وهر انسانی را مثل مرغ نیم بسمل به جنب وجوشی برای کمک به او وهمقطران او وامی دارد.ولی فقیه آمر کشتار وخود کشتار رانبایدهیچگاه فراموش کنیم www.link.com,0,0,0,0,0,0
146,ولی خودمونیم، یه چی گفتی که یه چی گفته باشی فقط تفکرات یک آدم شخصیت رو می‌سازه. اینا دو چیز جدا از هم نیستن که تو یکیشو دوست داشته باشی یکییشو نه ,0,0,0,0,0,0
174,یه سایت بود اگه اشتباه نکنم به اسم آی فتوشاپ هرچی توش سرچ میکردم داشت اگه هنوز باشتش کارتو راه میندازه,0,0,0,0,0,0
179," #ویروس_چینی با #واکسن_روسی و مشتری‌ اسلامی!
دوشنبه اعلام شد #واکسن_کرونا کشف «محققان دارویی» «فرمان امام» تا۲هفته دیگر تس…",0,0,0,0,0,0
184,ما را به سخت جانی خود این گمان نبود,0,0,0,0,0,0
201,"نسخه برداری داستان ""#اصحاب_کهف"" از افسانه پیش از اسلام ""#هفت_خفته"": داستان اصحاب کهف (خفتگان غار) که سوره خاصی در قرآن بدانان اختصاص یافته و در ادبیات اسلامی، بویژه پارسی نیز بدان توجه فراوان شده است، اقتباس از افسانه ای پیش از اسلامی است که ...",0,0,0,0,0,0
217,امشب کلا یاد اون شبی افتادم که نماز صبح رو با اشک برای حاج قاسم خوندیم، مردی که حتی یک بار هم از نزدیک ندیده بودمش اما اخلاصش کاری کرد که همه دلمون براش پر کشید، انگار یکی از نزدیکانم بود ... حیف و حیف و حیف تر از بغضی که توی گلومون موند ,0,0,0,0,0,0
222,آگاهی؟ شوخی میفرمایید. مخاطبان پرهام مگر مانند خود او ناشی و جاعل باشند که خام هجویاتش شوند. شما اگر مقالۀ پاسخ به پرهام را خوانده بودید، هرگز سخن از آگاهی این شخص به زبان نمی‌آوردید. این شمایید که هنوز چیزی نشده شروع به بت سازی از یک جاعل کرده و در برابر دانستن مقاومت میکنید.,0,0,0,0,0,0
225," #PersianMbbStreamParty
#ItsAllAboutLuv
@username
@username
shine forever....
اممم درسته قهرم ولی به هرحال باز…",0,0,0,0,0,0
229,اگه دست خطتون روی درانک بورد دستشویی خونمه، یعنی ما خاطرات خوبی باهم داریم.,0,0,0,0,0,0
236,من سالهاست نگاه نکردم ولی فاز توطئه اینا یادمه ازش ؛),0,0,0,0,0,0
243,ترو به مقدساتتون منو از منشن دربیارید و قربون صدقه هم برید,0,0,0,0,0,0
253,مامور کا‌گ‌ب شدن هم به من :((((,0,0,0,0,0,0
256,هفته دیگه محشره ی روز در میون بخواب ,0,0,0,0,0,0
273,خیلی سخته چون هیچ تایم لاینی نداره و آدمو بی انگیزه کرده,0,0,0,0,0,0
285,قوی باش ولی پررو نباش.,0,0,0,0,0,0
286, رد پای داماد وزیر اطلاعات جمهوری اسلامی در پرونده فساد مالی بانک ملت در این پرونده متهمی به نام عبدالله دستغیب با هزارمیلیارد تومان بدهی و معوقات بانکی وجود دارد که هم اکنون در خارج از ایران بسر می برد(فرار کرده است) نکته اصلی پرونده نقش آقای سید ,0,0,0,0,0,0
292,گفتم چرا انتظار نداشتین,0,0,0,0,0,0
299,من با غروبای چهار راه ولیعصر اینجوریم,0,0,0,0,0,0
306,دمت گرم ٫ هر چه بعدش گفتی .بازم دوست داریم .,0,0,0,0,0,0
307,لاجرم خون ریخته خواهد شد اما خشونت پرهیزی و نظام مندی لازم است #آبان98,0,0,0,0,0,0
316,جديدا پيرمرد پيرزن ها رو ميبينم ميترسم.خيلي وحشتناكه كه ديگه كار مهمي ندارن و منتظر مرگن,0,0,0,0,0,0
320,اینم جز تقصیراتمون اضافه کن مختارم نشون میده با کلی تکرار #OurPreciousEXO #EXO #weareoneEXO @username @username @username,0,0,0,0,0,0
322,منطقه سبز بغداد تا میبینه راکت داره میاد پا میشه میره زیرش,0,0,0,0,0,0
324,ربیع الاول چیه دیگه؟ مگه بعد صفر یک نبود؟,0,0,0,0,0,0
330,به لحظات حالا که بیداری یه چایی دم کن واسه صبحونه نزدیک میشیم,0,0,0,0,0,0
331,به کسی که آنفولانزا گرفته چی میگن؟,0,0,0,0,0,0
342,تارا فقط کیر آخوند و سپاهی برای خوردن دوست داره،,0,0,0,0,0,0
345,تبعیت کامل از دیدگاه آن فقیه عالیقدر در مورد مردم فلسطین اشغالی معنایی جز عقب نشینی و پذیرفتن نظر رهبری ندارد,0,0,0,0,0,0
350,به به اقا رضا، به روی چشم داداش,0,0,0,0,0,0
410, من هموني ام ک وقتی 6 سالم بود،يدونه سیب رو نصفه خوردم بقیش رو انداختم سطل آشغال،بعد وقتی بابام از سرکار اومد داداش بزرگم بهش گ…,0,0,0,0,0,0
416,نه باس دیگه نخوره به اونجا ,0,0,0,0,0,0
428,باز کی گیرم اندر آغوشت کی بیارم به دست چون دوشت هرگز آیا به خواب خواهم دید یک شبی دیگر اندر آغوشت #انوری,0,0,0,0,0,0
447,حالا من برعکسشو دیدم، مرده به زنه گفته تو مامانت امریکاست یه کاری کن بریم، اینم رفته امریکا، کار میکرده و بعد خونه تونسته اجاره کنه مستقل شه ،بعد شوهره اومده ۲ هفته مونده گفته من برمیگردم ایران تو همینجا بمون,0,0,0,0,0,0
449,اهي لو ترقد چان من زمان طلع الفقع,0,0,0,0,0,0
453,"@username چه نکته‌ی جالبی داره؟!
من هرچی زوم کردم نفهمیدم!",0,0,0,0,0,0
463,"@username @username @username من میگم برابری ولی این رفتارم درست باید بشه 
همینطور مشکل زنا دلیل نمیشه چون زنا مشکل دارن مردا هم اون مشکلشون مشروع بشه",0,0,0,0,0,0
493,من پاییزو دوس دارم الان عاخه⁦ ⁩,0,0,0,0,0,0
503,آدما چقدر عجیبن گریس کیلی بازیگری رو ول میکنه که ملکه موناکو بشه ثریا اسفندیاری ملکه بودن رو ول میکنه که بازیگر بشه,0,0,0,0,0,0
505,@username منa2هستم و  چون نمیتونم خوب حرف بزنم داشتم ناامید می شدم،الان که گفتید B2 واسه شروع حرف زدنه آروم شدم، زبون قشنگیه، من دوسش دارم، مخصوصا کلمه سازیشو😊,0,0,0,0,0,0
508,عوضش تو ویدیو کال ادش کن .,0,0,0,0,0,0
510," بماند به یادگار
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
#پوکر_سوزش 
#پوکر_قهرمانی 
#سهمیه_فساد 
#کیسه_حکومتی 
#کیسه_وزارتی www.link.com",0,0,0,0,0,0
512, آن آقایی که سوار بر لیموزین از مرزهای دیپلماتیک ما دفاع میکند و آن مرزبانی که در سخت ترین شرایط آب و هوایی و با کمترین ام…,0,0,0,0,0,0
518,این حجم از جهالت و تو لجن فریب غرق شدن واقعا تاسف آوره.. ,0,0,0,0,0,0
525,یه سال که خوبه من دوساله بهش نگفتم ,0,0,0,0,0,0
528,حالا بحث اون بابا مسیر عکس تو رو میگفت. یعنی از رو معادل در زبان دیگری میگفت ترجمه غلط شده در فارسی ,0,0,0,0,0,0
549,@username @username این تمثال ها مشکل داره با عرض معذرت,0,0,0,0,0,0
553,توییتر الان دودستس یه دسته عکس نوید رو گذاشتن دارن تیپشو جاج میکنن یه دسته هم عکس بهنوش رو گذاشتن دارن ارایششو جاج میکنن. باورکنین نظرات شما به چپ اونام نیست,0,0,0,0,0,0
564,حالا لازم نبود خودتم بیای به همه توهین کنی,0,0,0,0,0,0
602, به کسی که لیاقت یه سمت رو نداره بهش مسولیت زیاد بدی خوب همین میشه #مسئول_بیکفایت,0,0,0,0,0,0
603,به ري تو ده ستي خو بلندكه ي من تو يي كوشتي ژي هع,0,0,0,0,0,0
604,استناد به دوره صنعتی شدن جهان خط تولید www.link.com رو در این مورد باید جستجو کنی.,0,0,0,0,0,0
622,@username هر کس فکر تجزیه طلبی کرد مطمئن باشید سیخ داغ توی ما تحتش . پس هواست به ماتحتت باشه,0,0,0,0,0,0
640," شب‌های بی‌خواب #بیروت 
در اعتراض به فساد ساختاری تا دخالت تهران و اقدامات حزب‌الله
بحران با استعفای این دولت و آن دولت برطرف…",0,0,0,0,0,0
656,فوری است یا تبدیل فوریه؟ =))),0,0,0,0,0,0
663,من از اول ضد دین بودم,0,0,0,0,0,0
676,سخن کوتاه بود و جانکاه ,0,0,0,0,0,0
699,اون چارسانتیه یوزی نی.دول آقاتونه.زیر پتو توییت نزن قاطی میکنی مسائلو باهم.خب قدرت کشتار وتخریب فحش از یوزی چار سانتی بیشتره که مُنگُل.توکل کل قدرت نظامی سپاه مجهزترین تو کهکشانه.حالامردم و معترضین یوزی چارسانتی دارن نیروهای سرکوب دست خالی.این کشته ها رم ابابیل با سنگ کشته..,0,0,0,1,0,0
700,آره فقط همین یه عکس رو داشته ازش ,0,0,0,0,0,0
707,بچه ها اگه کانادا گفته سه ماه دیگه قرنطینه صد درصدی میدونید که کون ماها دیگه کامل پاره ست؟,0,0,0,0,0,1
720,با این جواب دندان شکن دیگه چیزی برا ارائه ندارم یعنی اصلا ترجیح می‌دم نداشته باشم :),0,0,0,0,0,0
722,خب پس در حق شما اجحاف شده,0,0,0,0,0,0
725,ناشناس میخوام از اونا که میگن از اونا که میگن,0,0,0,0,0,0
741,اخره هفته رو اگه كسي ميخواد كرونا نگيره و خوش بگذرونه و يه خورده درانك و هـاي از اين داستانا بياد به من بگه,0,0,0,0,0,0
758,..و نزدیک دقیقه های نود مرادی میخواد تعویض بکند نمیدونه جای کی اول میگه بیا بعد میگه نه نه فعلا ..بیچاره چند تا بازیکن ها یه چشمشان به کنار زمین بود یه چشمشان به دفاع .همون موقع گفتم تمرکز بازیکن داره میاد پایین انگار یه نفر گذاشتی کنارت داری میترسانی بازیکن ها که تعویض میشی,0,0,0,0,0,0
759," كاش به جاى هر گلوله در وطن
 تخم خوبى يا گلى مى كاشتيم

آن زمان در هر كجاى  كشورم
صد بهشت و صد گلستان داشتيم

كاشكى  ما مهر با…",0,0,0,0,0,0
770," با توجه به ریدین که نه در ایران که در منطقه و دنیا کردند، 

#جمهوری_اسلامی_انتخاب_من_نیست",0,0,0,0,1,0
779,والا ما یه دوستی داشتیم نصف ایشون کسخل بود. گاهی حمله داشت و تصاویر سیاه و سفید پشت سرهم میدید‌ از اونجایی میگم نصف ایشون کسخل بود که جای اتصالش به روح و جن مث بچه آدم رفت دکتر دارو درمانشو پیگیر شد مشکلش حل شد. ,0,0,0,0,0,0
782,@username نه ولا ایمه وانین، با بم بو لای ایوه ژن بخوازم بخوا 😂😂,0,0,0,0,0,0
786,داشتم شعر عقاب دکتر خانلری رو زمزمه میکرد به این بیت رسیدم: دیگر این خاصیت مردار است عمرمردار خوران بسیار است که مادرم دونفر از آشنایان رو نام برد که بالای ۱۰۰ سال هستن،,0,0,0,0,0,0
788,بد از لحاظ گفتنش یا وخامت اوضاع؟ ,0,0,0,0,0,0
791,@username من که به حال شما قبطه میخورم,0,0,0,0,0,0
795,موافقم، علیرضا جان. فکر کنم منظورشون این بوده که «زل نزنید.»,0,0,0,0,0,0
812,عععهه مگه نمیدونستید؟؟؟ ایشون خیلی وقته درجه سرهنگی دارن و بهمین زودیها ترفیع به سرداریشونم میاد و باید شیرینی بدن ,0,0,0,0,0,0
829," دوستای گلم با اقتخار برای #سلامت_دانشجو لیمیت شدم !
پس لطفا تا می تونید این توییت رو لایک و ریتوییت کنید و کامنت تا درس…",0,0,0,0,0,0
833,هیچ پرداخت‌یاری حق دریافت اطلاعات کارت و غیره رو نداره و عملیات مستقل بانکی انجام نمیده! تمام نراکنش‌هاش از طریق یک PSP باید انجام بشه. www.link.com,0,0,0,0,0,0
838,منیم بانک کارتیم دا توکاندا قالیب شنبه جیره قوتولور گره گئدم حتما ولی هر زادان چوخ کاکتوسلارا گؤره گئتمه لییم,0,0,0,0,0,0
856,نه با سیر و سرکه و سس خردل قاطیش کردم ولی جای تخم مرغ خام سس مایونز اضافه کردم,0,0,0,0,0,0
871,شرک یک رو دیدی اولش از کتابه به عنوان دستمال استفاده می‌کنه؟ من اون یه جلدی که ازش دارم رو گذاشتم کنار به شرک اهدا کنم :)),0,0,0,0,0,0
888,نه!! مامان دوستم ولی واسش کره خرما میذاشت من همشو میخوردم,0,0,0,0,0,0
890,الکی دیس دادنم به بزرگان بلده,0,0,0,0,0,0
896,@username کدوم‌شهر و میتونن اماده‌کنن حداقل ۱۰۰ سال زمان میبره🤦‍♀️🤦‍♀️یه اتوبان تهران شمال ۴۰ سال طول کشیده هنوز به نصف راه نرسیدن,0,0,0,0,0,0
901,داداش یه قسمتش کپی میشه ,0,0,0,0,0,0
916,از حرص خوردن الان منفجر میشم.,0,0,0,0,0,0
918,وای که چقدر این بشر رو اعصاب من بود! ببین آریا کاملاً مشخصه برای جلب توجه اینجوری حرف میزنه که واکنش بگیره,0,0,0,0,0,0
919,من ۲۴ سالمه و یکی از هم دانشگاهیام که ۵ سال ازم کوچیکتره چندبار بهم پیشنهاد داده من که اصلاااا نمیتونم کنار بیام,0,0,0,0,1,0
927,استاد حمایت از کوردهای سوریه چی شد پس کی بریزیم خیابون بگیم مرگ بر اردوغان ,0,0,0,0,0,0
935,"چرا نشود وقتی آن ""حقیقت"" یک مشت متن است که مسئول شده برای پیام آوری برای زندگی بشر پس باید راه انداز مشکلات بشر هم باشد.",0,0,0,0,0,0
965,پشم یا پر؟؟؟ مساله این است,0,0,0,0,0,0
968, سردبیر سابق کیهان #مهدی_نصیری تو تلویزیون گفته بر اساس آمار وزارت ارشاد بیش از ۷۰ درصد مردم اعتقادی به التزام #حجاب_اجب…,0,0,0,0,0,0
979,قبل از تمامِ این سه ماه، که بودم؟,0,0,0,0,0,0
984,@username @username باید بعد انزال اول دوباره سکس کنید، اگه راست نمیشه تنها راه اینه که شما ساک بزنید,0,0,0,0,0,0
986,@username خدا رحم کنه، خیلی شدید بود خدایی,0,0,0,0,0,0
988,تا چشم کار میکنه اقیانوس عمیق کصشره,0,0,0,0,0,0
990,بابا من خودم عاشق اون عکس سمت چپیه شدم :))) کلا کور شدیم همه,0,0,0,0,0,0
1005,"#دیوانه_از_جهنم_گریخت
.
____آنان که از جهنم گریخته اند،
نه دیگر از چیزی می ترسند،
و نه دیگر ایمانی دارند که کسی،یا چیزی،یا رخدادی،
بتواند از آنان بگیرد.
نه معنای رفتن را میدانند،نه مسیر ماندن را بلدند.و نه دیگر چیزی را بدست می آورند و نه دیگر چیزی را از دست میدهند
#لغو_فوری_اعدام",0,0,0,0,0,0
1008,من وقتی از یه چیزی حس خوبی میگیرمم استرس میگیرم واسه دوباره اتفاق افتادنش.,0,0,0,0,0,0
1009,"@username تفکر داعشی اونیه که چند روز پیش اعدام شد
که زد طرفو سلاخی کرد
وحشیای تیرانا هم ازش دفاع کردن
خون آشامم تویی",0,0,0,0,0,0
1011, بچه ها من الان تونستم با یکی از نمیانده های موافق تعویق تماس برقرار کنم ،بعد از درخواستم بهم گفت که بچه ها امروز باید فشار بیا…,0,0,0,0,0,0
1012,اولی به دومی سومی خیلی ربطی نداره,0,0,0,0,0,0
1016,:))) دقیقا بیچاره مادر بزرگم چی کشیده از دست این,0,0,0,0,0,0
1017, الان میره یه ویدیوی خیلی بامزه پر میکنه توش جاجمون میکنه,0,0,0,0,0,0
1018,دلتنگ من نیسی؟ دوستت ندارم,0,0,0,0,0,0
1019,خلاصه نگفتید خانمای الان حاضرن تمکین بی چون و چرا داشته باشن؟ با واقعیت های جامعه جواب بدین نه فضای ذهنی تون!,0,0,0,0,0,0
1020,نه باید موقعیتش جور باشه و در ضمن فعلا شرایط رابطه رو ندارم,0,0,0,0,0,0
1021,مملکت که صاحب نداشته باشه مردمش دچار اشتباه میشن همه چیز رو گردن مردم نندازید,0,0,0,0,0,0
1023,همه چی یه طرف شب تا سحر بیدار موندنش یه طرف ,0,0,0,0,0,0
1024,اگه شمسی بود خیلی عجیب میشد. :)))),0,0,0,0,0,0
1029,@username @username منم بودم توش. البته ٧ سال پیش بود. شاید از اون موقع بهتر شده الان,0,0,0,0,0,0
1031,بودن کشتی در آب خطرناک نیست. اما بودن آب در کشتی خطر داره ! ‌ پست‌های قبلی من هم مطالعه کنید؛ @username @username @username ‌ ‌ ‌ #سلف_برندینگ #برندشخصی… www.link.com,0,0,0,0,0,0
1032,شاید اون خرده ای بیشتر از ۲۳ میلیون نفر بودن,0,0,0,0,0,0
1034,"@username ده تا میخوره
چهارتاشم رهگیری میکنن",0,0,0,0,0,0
1035,"کسایی که #کرونا دارن آیا به جز سرفه بالا هم میارن ؟
من چند بار بالا آوردم یه بارش خون هم بود .",0,0,0,0,0,0
1036,اونی که گفتی هفت جد و ابادته به هرحال ملت ایران همچنان دنباله رو نصایح امام راحل هستند. کاریش نمیشه کرد. :),0,0,0,0,0,0
1037,چندبار خوندمش خیلی زیبا بود,0,0,0,0,0,0
1038," نفوذ در قضا ؛ داستان یک سفارش

نوشين نفيسی فرزند دكتر ابوتراب نفيسی ، پزشک مخصوص مرحوم #منتظری است که در سال ۱۳۵۸ به عضو…",0,0,0,0,0,0
1039,مصارف سالانه درمان افغان‌ها به ۲.۵ میلیارد دالر می‌رسد www.link.com,0,0,0,0,0,0
1040,بخدا استثنا تو این یکی خوب میفتم خوبم نه قابل تحمل,0,0,0,0,0,0
1043,خب امشب به دلیل تب داشتن دوتا پسرا تا صبح در خدمتتون هستیم. #کافر_بشو_مادر_نشو,0,0,0,0,0,0
1044,امین فردین و میشناسم به اصطلاح خبرنگار مستقل هستش استوری کرده که چیو بگه؟,0,0,0,0,0,0
1045,تافته عشق دوزخی ز اهل نصیحت اندرو بر من و دل گماشته سد ملک عذاب را #مشاعره_توییتری,0,0,0,0,0,0
1046,ناپلؤن مسکو را فتح کرد ولی در نهایت با خفت و خواری شکست خورد و به جزیره ای تبعید شد و مرد. چرا؟ چون پیشروی هایش عقبه نداشت. پشتیبانی نداشت. عقبه جنابعالی ایران است که دارد زیر بار فشار متلاشی می شود. هر اندازه پیروزی فیک به دست آورید دنیا بیشتر به حال آماده باش در می آید.....,0,0,0,0,0,0
1047,يك جام با پست پلاس بفرستيد براي لنگي ها ولي جون مادرتون انقدر نرينيد تو زبان فارسي پست پلاس دنا پلاس تندر پلاس يك كلمه فارسي پيدا كن ديگه حداد پلاس,0,0,0,0,0,0
1048, بر مردم   vs   از مردم www.link.com,0,0,0,0,0,0
1051,واقعا چی تو این فِیک دوزاری دیدید که فیو کردید و منشن گذاشتید؟ ⁦@username⁩ ⁦@username⁩ ⁦@username⁩ ⁦,0,0,0,0,0,0
1057,حقیقتا ویروس سرایت کرد؟!=))),0,0,0,0,0,0
1058,بی تربیت... تو هنوز نمیدونی جنگ چیه... چقدر وقت تلف کردم بخاطرت امشب,0,0,0,0,0,0
1060, بهترین سینه زنی که تو عمرم دیدم. 😂😂😂 #روحت_شاد_رضاشاه www.link.com,0,0,0,0,0,0
1063," فرصت زندگی کوتاه و محدوده
پس با نگفتن خیلی حرف ها خودمون محدودیت زندگی رو بیشتر میکنیم 
پس:
به آدم ها بگید چه قدر خوب لبا…",0,0,0,0,0,0
1065,@username @username من موافق حجابم اما انصافا هجمه به اون دختر حال آدمو بهم میزد,0,0,0,0,0,0
1066,اینو دیگه داری سخت میگیری :))))) درسته عاشق 12 مرد خشمگینم ولی راننده تاکسی بره بالا ایرادی نمیشه گرفت ولی ولی کلا این لیستا ریده‌ن,0,0,0,0,0,0
1067,منم تو تلگرام دبگه تایپ نمیکنم وویس میدم وقتی خونه خالیه ,0,0,0,0,0,0
1068,تازگیا امتحان نکردم ولی قبلا واقعا اراجیف تحویل میداد تستش میکنم,0,0,0,0,0,0
1069,حداقل عوض این همه ریت یه دونه توییت هم می زدی که اینقدر فیک بودنت تابلو نباشه امیرحسین( علی اکبر سابق) دیگه کارش رسیده به اکانت فیک یه روزه برای دفاع از جفنگیاتش,0,0,0,0,0,0
1071,"اگر سیستم DCPI مرکزداده انطباق‌پذیر شود، بخش سایه‌دار شکل ۱ که هدررفت ناشی از برآورد بیشتر از نیاز باشد، به‌مقدار زیادی کاهش می‌یابد. 
مقاله: www.link.com
#مرکزداده #زیرساخت‌فیزیکی #معماری #هزینه #مقاله #Datacenter #DCPI #Architecture #Cost #Knowledge #Article www.link.com",0,0,0,0,0,0
1072, بروجردی به رنسانسی وسیع تر و عمیق تر از رنسانس اروپا (که با حاشیه راندن دین انجام شد) می اندیشد ، او ناکارآمدی محض دیانت را…,0,0,0,0,0,0
1073,تو میتوووووووووووووووونیییییی,0,0,0,0,0,0
1075, به قیافه‌ش می‌خوره فرمانده جنگ باشه، ولی واقعیت اینه که در نقش ستون پنجم و پیاده نظام دشمن داره کار می‌کنه، چون ن صدای…,0,0,0,0,0,0
1076, اتفاقا اون نیومده فک کنم چون پاک کردی ,0,0,0,0,0,0
1077,بیا نگاه کنیم به هم. ,0,0,0,0,0,0
1078,وزیر و ملکه یکی هستند. تو ایران میگن وزیر، در اروپا میگن ملکه .,0,0,0,0,0,0
1081,قلبی که در کودتای عقل تسلیمِ منطق شد..,0,0,0,0,0,0
1082,شدنیه تا حدی مسخرگیش در تعریف روابط بین آدم هاست بخشی از ارتباطات آدم ها روی همین انتظارات بنا شده,0,0,0,0,0,0
1083,گاهى ميان مردم در ازدحام شهر ، غير از تو هرچه هست فراموش ميكنم #فریدون_مشیری,0,0,0,0,0,0
1087,قشنگ تا اشک از چشام اومد خندیدم به این:))))))))))))),0,0,0,0,0,0
1089,کسی تاحالا از سردرد مرده؟ @username @username @username,0,0,0,0,0,0
1090,یعنی دعوایی چیپ تر از «فلان مداح بهتر میخونه نه فلانی» پیدا نکردین این روزا راه بندازین تو این محیط نخبگانی(!)؟ واقعا باید براتون شرح بدن این چیزا سلیقه ایه؟!,0,0,0,0,0,0
1092,:| کار و کاسبی ما کساد میشد,0,0,0,0,0,0
1093," همچنان یه عده هستن که فقطططط لایک میکنن،
واقعاً خیلی نفهم هستید من عذرخواهی میکنم که انقدر صریح میگم!
وقتی توییت میزنم شماره…",0,0,0,0,0,0
1096,توقف بی‌جا مانع کسب است,0,0,0,0,0,0
1097," جدی کنکور نباید عقب بیفته ؟ 
چهارساعت اون همه جمعیت تو فضای بسته .
این بچه ها هرکدوم خونواده دارن اگر آلوده بشن خونواده…",0,0,0,0,0,0
1102,طفلک مثل منه. هیشکی نیست یه عکس درست ازش بگیره ,0,0,0,0,0,0
1103,هی ی ی من کرونا بگیرم تو کیک بخوری انصاف نیس,0,0,0,0,0,0
1105,یه وبینار کامل صفر تا صد a method بزار برامون اگر هنوز جواب میده تا بازنشست نکردی خودتو,0,0,0,0,0,0
1106,@username همچنین باید گفت اونایی که تا تکون میخورن میگن مقام معظم رهبری مقام معظم رهبری کجان اینجور موقع ها,0,0,0,0,0,0
1107,آقا ما به لامپ خیره میشیم اوکیه یا حتما باید لوستر باشه؟,0,0,0,0,0,0
1108," کسی هست اینجا مشاور از مکتبستان گرفته باشه؟
#ریت",0,0,0,0,0,0
1110,مرسی، ولی برای هر بسته هزینه ارسال جداگانه گرفته شد. یه سری خرید شگفت انگیز بود، یه دونه رو هم گفت حجیم‌ه باید جدا ارسال بشه، یه بسته هم بقیه‌ش بود. کلا تو سه تا بسته ارسال شد با هزینه جداگانه.,0,0,0,0,0,0
1112,اهان اره خب اونم هلو که ارج و قرب زیادی داره تو میوه‌ها :)),0,0,0,0,0,0
1113,سلام سارا جان نه متأسفانه ساعتش هماهنگ شده ولی می‌تونی در حینش بهمون ملحق بشی.,0,0,0,0,0,0
1115,"@username من در حال خوندن توییت مونا :)))
اصن دلم خاس سر صبی www.link.com",0,0,0,0,0,0
1118,مدل ضعیف شده ی شماره یک:),0,0,0,0,0,0
1119,"@username اتفاقا امروز ازم پرسید مامان بهونه ی زنده بودن ینی چی؟ 
گفتم ینی تو عشقم ☺️☺️",0,0,0,0,0,0
1121,فرزندم، در مورد شما دليلش آن است كه رذالت در اعماق وجودتان خانه كرده.,0,0,0,0,0,0
1123,اقا جان گفتید #جهش تولید مانند انتخابات ما تحت امر توییم ان شاءالله... من تمام توانم حرف توست نائب امام عصر عج دعا کن برای مایی گنه کار.. #جهش_تولید #جهش_تولید,0,0,0,0,0,0
1126,الان داشتم به خودم قول میدادم ی مدت تنها باشم یهو یاد ی نفر افتادم گفتم اگه فلانی پیشنهاد داد چی؟ هیچی دیگه حرفمو پس گرفتم از خودم ,0,0,0,0,0,0
